@relation 'Free-Converter.com-sensor_test_fe_double_20_sec_shuffle_v2-84495343-weka.filters.unsupervised.attribute.Remove-R2,4-8,13,15-16,18,20-21,23-29,31-35,37,39-40,42-44,46-47,50-51,54,58-64,66-67,69-72,74-93,96,100,103,105,107-108,110-114'

@attribute AX-MinRed numeric
@attribute AX-MinInc numeric
@attribute AX-SqMean numeric
@attribute AX-GeoMean numeric
@attribute AX-HaMean numeric
@attribute AX-QuaMean numeric
@attribute AX-StdDev numeric
@attribute AX-Kurtosis numeric
@attribute AX-InqRan numeric
@attribute AY-MinInc numeric
@attribute AY-HaMean numeric
@attribute AY-Kurtosis numeric
@attribute AY-InqRan numeric
@attribute AZ-MinInc numeric
@attribute AZ-Ranj numeric
@attribute AZ-GeoMean numeric
@attribute AZ-HaMean numeric
@attribute AZ-StdDev numeric
@attribute AZ-Variance numeric
@attribute AZ-Kurtosis numeric
@attribute AZ-Skewness numeric
@attribute AZ-InqRan numeric
@attribute GX-AritMean numeric
@attribute GX-HaMean numeric
@attribute GX-CoVar numeric
@attribute GY-Skewness numeric
@attribute GY-InqRan numeric
@attribute GZ-MaxRed numeric
@attribute GZ-MinInc numeric
@attribute GZ-MaxInc numeric
@attribute GZ-Max numeric
@attribute GZ-Ranj numeric
@attribute GZ-SqMean numeric
@attribute GZ-HaMean numeric
@attribute GZ-StdDev numeric
@attribute Mode {Araba,Yurume,Tramvay,Met-Mar,Hafif_Rayli,Oto-Mbus}

@data
0.000018,0.000036,0.002599,0.017497,-0.015243,0.05098,0.050939,12.639326,0.041723,0.000039,0.021603,10.582948,0.048634,0.000006,0.853405,0.023364,0.104951,0.059493,0.003539,8.797152,-0.055223,0.055799,-0.000586,-0.26219,-98.682444,0.792594,0.096816,0.795604,0.000051,0.846274,0.766736,1.290967,0.009258,0.07613,0.09603,Araba
0,0.000021,0.000504,0.005829,-0.006764,0.02246,0.022446,12.030574,0.013444,0.000004,-0.011453,19.267732,0.011186,0.000012,0.274831,0.00477,0.000286,0.015987,0.000256,15.327247,0.75261,0.010986,0.000658,-0.000128,65.122017,0.08039,0.061891,0.170547,0.000021,0.158255,0.10886,0.254834,0.000472,0.001948,0.021725,Tramvay
0.00047,0.000049,0.117006,0.1737,-0.140202,0.342061,0.341639,3.525754,0.421308,0.000196,0.20989,3.063758,0.743351,0.000492,4.07418,0.326122,-0.070489,0.584435,0.341565,3.159097,-0.284539,0.811879,0.071181,-5.217212,27.006736,0.781561,1.535364,3.480286,0.000722,3.941218,1.70764,5.05938,0.383369,-0.44858,0.617293,Yurume
0.000006,0.000027,0.000283,0.005676,0.004726,0.016808,0.016803,14.079326,0.013277,0.000006,-0.001413,11.716932,0.012918,0.000016,0.255641,0.005832,0.074295,0.018678,0.000349,10.738915,0.274531,0.013598,0.001164,0.00434,9.047515,-0.264087,0.021288,0.196139,0.000008,0.213445,0.159633,0.359682,0.000527,-0.005121,0.022792,Tramvay
0.000047,0.000053,0.000291,0.006851,0.009979,0.017045,0.017001,4.739813,0.016924,0.000063,-0.012625,6.71131,0.030535,0.000011,0.193522,0.006059,0.557026,0.015165,0.00023,7.46705,-0.380731,0.015034,-0.000042,0.040108,-691.699538,0.284016,0.043549,0.111478,0.000034,0.097017,0.074472,0.172382,0.000261,-0.001411,0.016168,Hafif_Rayli
0.000102,0.000065,0.001388,0.013965,-0.004235,0.03726,0.037248,15.3075,0.032702,0.000027,0.032938,7.566988,0.032492,0.000137,0.871498,0.018394,-0.288227,0.054506,0.002971,16.248644,-0.078371,0.042726,-0.003431,-0.069234,-12.49898,-3.106264,0.050236,0.472608,0.00006,0.490315,0.323716,0.696517,0.007781,0.0019,0.087858,Oto-Mbus
0.000035,0.000018,0.000143,0.004558,0.001233,0.011945,0.011769,14.023394,0.009811,0.00007,-0.060638,6.620043,0.012581,0.000004,0.179027,0.003942,0.017522,0.010357,0.000107,15.438114,-0.902925,0.009517,-0.001526,-0.766804,-20.057221,-0.138519,0.036147,0.249284,0,0.236897,0.21961,0.465752,0.0002,-0.000806,0.014113,Met-Mar
0.000013,0.000925,0.122969,0.170334,-0.161607,0.350669,0.350133,3.684617,0.415567,0.000364,0.146573,3.155208,0.708682,0.000691,4.20879,0.32361,17.873209,0.59527,0.354347,3.520014,-0.336037,0.792506,-0.051628,0.580451,-35.369588,0.878545,1.473563,3.20511,0.000328,3.672147,1.71632,4.609,0.365956,0.435025,0.602716,Yurume
0.000016,0.000001,0.000198,0.00452,0.005943,0.014074,0.013953,58.351052,0.010098,0.000008,0.059301,25.027704,0.012748,0.000023,0.106856,0.003902,0.018255,0.009597,0.000092,7.966744,-0.034723,0.009205,0.000212,0.21711,138.816667,0.201389,0.035281,0.206983,0.00001,0.220039,0.068497,0.277649,0.000157,0.072516,0.012491,Met-Mar
0.000013,0.000051,0.00026,0.005588,0.007586,0.016127,0.016131,13.469618,0.013236,0.00001,-0.0036,13.610826,0.013373,0.000011,0.304983,0.005971,-0.005194,0.01988,0.000395,17.679847,1.22108,0.013631,0.000748,-0.00467,15.95479,-2.583635,0.023197,0.137235,0.000012,0.156866,0.130307,0.247248,0.000506,-0.008187,0.022367,Tramvay
0.000009,0.000085,0.000779,0.011865,0.012832,0.027918,0.027924,5.679897,0.029517,0.000023,-0.047871,11.435594,0.051341,0.000092,0.317733,0.011098,0.151579,0.025067,0.000628,7.347096,-0.294979,0.026788,-0.000386,0.043484,-110.853166,0.280614,0.122201,0.267985,0.000003,0.19943,0.176735,0.325624,0.001104,0.028361,0.03323,Oto-Mbus
0.000002,0.00002,0.000284,0.006676,0.004944,0.016858,0.016836,5.007881,0.016673,0.000005,0.011103,5.944075,0.031899,0.000022,0.169759,0.006075,0.004797,0.014913,0.000222,6.697373,-0.016844,0.015293,0.000633,0.013358,45.886468,0.139608,0.041392,0.101064,0.000007,0.091819,0.072151,0.134582,0.00025,0.000784,0.01581,Hafif_Rayli
0,0.000047,0.000512,0.005991,-0.002678,0.022629,0.02263,12.770867,0.013798,0.000023,-0.043093,11.224875,0.01106,0.000054,0.298729,0.004897,-0.001694,0.016251,0.000264,16.781681,0.201878,0.011655,-0.000459,-0.001501,-90.516792,0.834873,0.057463,0.159127,0.00003,0.175061,0.161126,0.30687,0.000514,-0.008124,0.022678,Tramvay
