@relation 'Free-Converter.com-sensor_test_fe_double_60_sec_shuffle_v2-94975332-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-8,10-11,13-16,18,20-35,37-44,46,48-69,71-76,78-92,96-100,103-105,107-114'

@attribute AX-MinInc numeric
@attribute AX-Max numeric
@attribute AX-SqMean numeric
@attribute AX-QuaMean numeric
@attribute AX-Kurtosis numeric
@attribute AX-InqRan numeric
@attribute AY-Kurtosis numeric
@attribute AZ-Ranj numeric
@attribute AZ-SqMean numeric
@attribute GX-Median numeric
@attribute GY-MinRed numeric
@attribute GY-Kurtosis numeric
@attribute GY-Skewness numeric
@attribute GY-InqRan numeric
@attribute GZ-Max numeric
@attribute GZ-Ranj numeric
@attribute GZ-HaMean numeric
@attribute Mode {Tramvay,Oto-Mbus,Met-Mar,Araba,Hafif_Rayli,Yurume}

@data
0.000003,0.081703,0.000159,0.012617,7.150984,0.011128,11.716628,0.408002,0.000435,0.000796,0.000002,18.759926,-0.617284,0.022232,0.144794,0.288126,-0.245811,Hafif_Rayli
0,0.091153,0.000304,0.017441,4.814403,0.017686,7.334613,0.187791,0.000238,0.000681,0.000003,7.327603,0.370397,0.04446,0.082796,0.164562,0.001599,Hafif_Rayli
0.000014,0.234282,0.000836,0.028912,7.938263,0.0297,7.936604,0.367827,0.000651,0.00024,0.000051,7.148227,0.099308,0.121301,0.240084,0.41635,-0.016684,Oto-Mbus
0.000001,0.140823,0.000495,0.022259,11.020239,0.013757,13.600884,0.50789,0.000274,0.000846,0.000002,19.766021,1.166238,0.059137,0.197299,0.344056,-0.015907,Tramvay
0.000036,0.325316,0.00121,0.034788,11.595542,0.031301,7.296239,1.448037,0.002783,-0.001122,0.000004,30.326191,-0.172492,0.048142,0.322412,0.702014,0.032423,Oto-Mbus
0.000004,0.121167,0.000172,0.0131,24.582119,0.010012,8.455135,0.196471,0.000102,0.000405,0,10.31252,0.087761,0.03628,0.188413,0.524091,-0.002084,Met-Mar
0.000006,0.102021,0.000298,0.017249,5.709483,0.016548,7.196434,0.199071,0.000232,-0.000018,0.000009,5.060549,0.244105,0.044633,0.089428,0.17407,0.055459,Hafif_Rayli
0.000004,0.120938,0.000176,0.013266,35.491975,0.010062,14.949475,0.201692,0.000095,0.0004,0.000017,11.120788,0.347046,0.035245,0.265076,0.596091,-0.001339,Met-Mar
0.000049,1.14394,0.118425,0.34413,3.662593,0.419749,3.107211,4.09728,0.338611,-0.226126,0.000233,4.221436,0.754832,1.505969,1.70764,5.05938,-0.148955,Yurume
0.00005,0.457762,0.003767,0.061377,9.812673,0.058526,6.121243,1.427772,0.004035,-0.00226,0.000008,44.211403,-1.135146,0.107113,1.90727,2.790052,0.001079,Araba
0.000005,0.169015,0.000154,0.012395,56.746899,0.007577,11.773348,0.156904,0.000124,-0.000317,0.000006,47.80008,-0.634253,0.010554,0.607506,1.016552,-0.010053,Met-Mar
0.000272,1.19327,0.121513,0.348588,3.639881,0.42305,3.087813,4.51864,0.348724,-0.268269,0.001285,4.684164,0.882995,1.486044,1.82275,5.06554,-0.190693,Yurume
0.000013,0.137343,0.000288,0.016974,13.711694,0.013279,15.280731,0.423046,0.00043,0.000656,0.000002,14.950627,0.06917,0.02296,0.247473,0.417116,-0.009241,Tramvay
0.000029,1.54676,0.146945,0.383334,4.329216,0.41143,3.411323,3.48089,0.299957,-0.208395,0.000327,3.968786,0.763053,1.598709,2.36878,5.28465,0.024608,Yurume
0.000038,0.404563,0.002569,0.050689,9.715759,0.044435,15.506765,0.995513,0.003653,-0.001854,0.000007,12.993623,-0.011796,0.094714,0.845757,1.610472,0.002189,Araba
0,0.140923,0.000084,0.009159,23.136251,0.008733,5.515355,0.179166,0.000164,0.000702,0,12.682927,0.060767,0.015812,0.067427,0.156376,0.074506,Met-Mar
0.000001,0.129402,0.000173,0.013139,9.918454,0.014743,4.356374,0.188973,0.000426,-0.000462,0.000001,6.918114,-0.131556,0.032662,0.104847,0.196963,0.004108,Met-Mar
0.000006,0.136641,0.000868,0.029467,5.999648,0.027525,14.370383,0.340743,0.000941,-0.000817,0.00009,7.613027,0.171029,0.082796,0.191775,0.425505,0.02518,Oto-Mbus
0.000012,0.457762,0.003886,0.06234,10.399987,0.059273,5.803051,1.763431,0.003967,-0.001955,0.000008,107.705636,1.243294,0.108865,1.90727,2.845087,0.001071,Araba
0.000386,1.29511,0.113937,0.337545,3.787752,0.410612,3.129697,4.40437,0.348068,-0.331147,0.000233,4.350564,0.788654,1.479356,1.89758,5.05416,-0.167604,Yurume
0.00001,0.149224,0.000187,0.01368,14.828274,0.014059,3.572553,0.214087,0.000122,0.000213,0.000006,10.31308,-0.136655,0.042434,0.2259,0.542695,-0.004675,Met-Mar
0.000004,0.169015,0.000166,0.012874,127.334409,0.007497,12.118513,0.160859,0.000121,-0.000365,0.000006,266.461363,-8.066948,0.010553,0.625241,1.919301,-0.009025,Met-Mar
0.000019,0.533221,0.001316,0.036279,22.09246,0.03242,8.305362,1.418845,0.003147,-0.000699,0.000003,98.428623,-2.19916,0.05042,0.320355,0.694535,-0.008819,Oto-Mbus
0.000002,0.17025,0.000133,0.011534,50.014122,0.007394,8.941672,0.195188,0.000131,-0.000462,0.000002,352.23908,-7.891026,0.01039,0.41931,2.03033,0.005965,Met-Mar
0.000043,0.118292,0.000485,0.022013,9.748961,0.013597,24.313413,0.505682,0.000256,0.000569,0.00002,18.060544,0.653226,0.059599,0.203594,0.357399,-0.003701,Tramvay
0.000001,0.36801,0.001301,0.036074,15.457821,0.032569,7.305482,1.027254,0.002808,-0.000912,0.000025,41.568836,-0.977147,0.050589,0.324671,0.707688,0.005211,Oto-Mbus
0,0.154944,0.001429,0.037798,3.854295,0.045867,4.28651,0.524591,0.003211,0.000839,0,4.109855,-0.075521,0.083217,0.131084,0.302811,-0.02807,Araba
0.000002,0.136324,0.000142,0.011933,9.268123,0.014609,4.204999,0.223975,0.000585,-0.000599,0.000002,4.218871,-0.067637,0.037056,0.076694,0.159299,0.009166,Met-Mar
